idx,x,y,z,j1,j2,j3,j4,j5,j6,icn,mm,msv,mscore
0
1,5.05135,1.61898,1.94994,1.94994,1.61898,5.05135,5.85396,1.2328,6.27956,0.0933967,0.051447,0.182877,-0
2,0.460676,3.87822,-1.83336,-1.83336,3.87822,0.460676,-2.05777,0.465454,3.15288,0.0352923,0.0177434,0.0746095,-0
3,-0.461326,1.27042,-1.64453,-1.64453,1.27042,-0.461326,-2.75641,0.459273,6.28251,0.0324716,0.0160887,0.0669755,-0
4,-1.79418,0.836884,-1.53834,-1.53834,0.836884,-1.79418,0.697666,-1.79864,3.13473,0.1384,0.0848804,0.246442,0.00870684
5,-5.05331,1.52226,-1.94878,-1.94878,1.52226,-5.05331,3.567,-1.22434,-6.2795,0.0931786,0.0510937,0.182581,-0
6,-3.20967,1.27308,-1.64987,-1.64987,1.27308,-3.20967,3.54303,-3.0713,0.0176267,0.000725507,9.17764e-05,0.00146597,-0
7,3.20939,1.88609,1.62518,1.62518,1.88609,3.20939,-0.317042,3.07583,0.0616907,0.000656772,8.48191e-05,0.00132642,-0
8,-1.79406,0.836719,-1.53531,-1.53531,0.836719,-1.79406,0.7034,-1.80042,-3.14507,0.138364,0.0847669,0.246389,-0
9
10
11
12
13
14
15
16
17,3.20957,3.88705,-1.85803,-1.85803,3.88705,3.20957,4.32138,-3.07665,-3.06593,0.00112984,3.53408e-05,0.00228952,-0
18,-1.23378,-2.83469,-1.94598,-1.94598,-2.83469,-1.23378,-4.6366,-5.04002,-0.0106062,0.100302,0.085622,0.185752,-0
19,-4.48832,3.76287,-1.53519,-1.53519,3.76287,-4.48832,4.0516,-4.48788,3.13126,0.0121889,0.00536198,0.0227861,-0
20,3.07377,-0.736063,1.82768,1.82768,-0.736063,3.07377,-1.06073,-3.20297,3.179,0.000906559,3.64523e-05,0.00183642,-0
21,-5.82289,-2.85331,-1.63606,-1.63606,-2.85331,-5.82289,-4.92333,5.81419,-0.0155946,0.0361218,0.0203875,0.0729922,-0
22,4.48815,-0.216137,1.34259,1.34259,-0.216137,4.48815,-4.25954,1.7943,-0.00178716,0.0898997,0.0390917,0.160839,-0
23,1.23031,1.52245,-1.94918,-1.94918,1.52245,1.23031,3.56793,-1.2266,-0.000968346,0.0932326,0.0511917,0.182652,-0
24,5.82204,-0.742625,1.84327,1.84327,-0.742625,5.82204,-1.11448,5.82135,3.14866,0.0352609,0.0174158,0.0745958,-0
25,0.465729,-5.32442,-1.17796,-1.17796,-5.32442,0.465729,3.35339,5.81498,0.0145907,0.0326793,0.0135404,0.0688074,-0
26,-4.02638,-5.52679,-1.38105,-1.38105,-5.52679,-4.02638,0.630978,2.25682,3.15039,0.0108014,0.00317732,0.0204216,-0
27,2.43756,3.37598,-0.660843,-0.660843,3.37598,2.43756,-2.72663,2.43551,3.12847,0.0228487,0.00483722,0.0445788,-0
28,-2.43674,-0.241016,0.673212,0.673212,-0.241016,-2.43674,-0.430656,-2.44558,3.1495,0.0214116,0.00451908,0.0418326,-0
29,-4.02613,0.758597,-1.3832,-1.3832,0.758597,-4.02613,0.623074,-4.02342,-3.14748,0.0112186,0.00329273,0.0212204,-0
30,-2.43809,-0.241048,0.671954,0.671954,-0.241048,-2.43809,-0.437912,-2.42962,3.13821,0.0210047,0.00451966,0.0409649,0.00429461
31,-2.25665,-3.89732,1.38073,1.38073,-3.89732,-2.25665,2.50696,4.02803,3.1351,0.0106402,0.00313388,0.0201117,-0
32,5.23554,0.227679,0.209353,0.209353,0.227679,5.23554,2.70168,1.04425,1.74846e-07,0.0828044,0.0732381,0.155257,-0
33
34
35
36
37
38
39
40
41
42
43
44
45
46,-5.05041,4.67761,1.57478,1.57478,4.67761,-5.05041,-6.25644,1.23834,3.14973,0.0940834,0.0571234,0.179201,-0
47,-5.82224,2.79994,1.67205,1.67205,2.79994,-5.82224,4.96786,-0.46249,6.27547,0.0347969,0.0291975,0.0732628,-0
48,-3.07384,-1.86825,-1.71268,-1.71268,-1.86825,-3.07384,0.305068,-3.20138,6.15338,0.000687415,9.08136e-05,0.00138249,-0
49,-1.79593,-6.01225,-1.37997,-1.37997,-6.01225,-1.79593,-2.02826,-4.49375,6.27497,0.126181,0.0614714,0.229112,-0
50,1.23125,0.411726,1.18758,1.18758,0.411726,1.23125,4.69159,1.23023,3.14775,0.0937341,0.0527499,0.183193,-0
51,0.461589,2.68374,-0.822487,-0.822487,2.68374,0.461589,-1.87974,0.457374,3.15842,0.0351855,0.0284722,0.074432,-0
52,3.20945,-4.42129,0.868001,0.868001,-4.42129,3.20945,3.6622,3.20762,-3.02424,0.000606343,3.56134e-05,0.00122493,-0
53,-4.4865,2.48196,-0.222514,-0.222514,2.48196,-4.4865,-2.26417,1.78668,-3.14832,0.135259,0.0937353,0.252587,-0
54,5.82128,4.95062,1.27122,1.27122,4.95062,5.82128,0.0650194,-0.455638,3.14742,0.0145461,0.00365277,0.0299551,-0
